"image"	"max_pumps"	"pump_loop.thisRepN"	"pump_loop.thisTrialN"	"pump_loop.thisN"	"pump_loop.thisIndex"	"thisRow.t"	"notes"	"Welcome.started"	"text_welcome.started"	"mouse_welcome.started"	"continue_welcome.started"	"Welcome.stopped"	"mouse_welcome.x"	"mouse_welcome.y"	"mouse_welcome.leftButton"	"mouse_welcome.midButton"	"mouse_welcome.rightButton"	"mouse_welcome.time"	"Demographics.started"	"text_demographics.started"	"mouse_demographics.started"	"text_age_demographics.started"	"text_age_input.started"	"text_gender_demographics.started"	"slider_gender.started"	"continue_demographics.started"	"Demographics.stopped"	"mouse_demographics.x"	"mouse_demographics.y"	"mouse_demographics.leftButton"	"mouse_demographics.midButton"	"mouse_demographics.rightButton"	"mouse_demographics.time"	"text_age_input.text"	"slider_gender.response"	"slider_gender.rt"	"Instructions.started"	"text_instructions_center.started"	"text_right_instruction.started"	"mouse_instructions.started"	"continue_instructions.started"	"back_instructions.started"	"back_instructions.stopped"	"stim_balloon_instructions.started"	"stim_balloon_instructions.stopped"	"stim_balloon_burst_instructions.started"	"stim_balloon_burst_instructions.stopped"	"text_balloon_value_instructions.started"	"text_bank_value_instructions.started"	"marker_balloon_value.started"	"marker_balloon_value.stopped"	"marker_bank_value.started"	"marker_bank_value.stopped"	"button_balloon_instructions.started"	"button_balloon_instructions.stopped"	"Instructions.stopped"	"mouse_instructions.x"	"mouse_instructions.y"	"mouse_instructions.leftButton"	"mouse_instructions.midButton"	"mouse_instructions.rightButton"	"mouse_instructions.time"	"button_balloon_instructions.numClicks"	"button_balloon_instructions.timesOn"	"button_balloon_instructions.timesOff"	"Start.started"	"text_start.started"	"continue_start.started"	"mouse_start.started"	"Start.stopped"	"mouse_start.x"	"mouse_start.y"	"mouse_start.leftButton"	"mouse_start.midButton"	"mouse_start.rightButton"	"mouse_start.time"	"Test_trials.started"	"stim_balloon.started"	"stim_balloon_burst.started"	"stim_balloon_burst.stopped"	"text_ballon_value.started"	"text_bank.started"	"mouse.started"	"sound_bang.started"	"sound_bang.stopped"	"button_balloon.started"	"Test_trials.stopped"	"n_pumps"	"earnings"	"popped"	"mouse.x"	"mouse.y"	"mouse.leftButton"	"mouse.midButton"	"mouse.rightButton"	"mouse.time"	"button_balloon.numClicks"	"button_balloon.timesOn"	"button_balloon.timesOff"	"Feedback.started"	"text_feedback.started"	"text_feedback.stopped"	"Feedback.stopped"	"End.started"	"text_end.started"	"key_end.started"	"End.stopped"	"key_end.keys"	"key_end.rt"	"key_end.duration"	"participant"	"session"	"date"	"expName"	"psychopyVersion"	"frameRate"	"expStart"	"...119"
NA	NA	NA	NA	NA	NA	NA	NA	0.0359901000047103	0.0407382999983383	0.0363493999902857	0.0407382999983383	15.7921837000031	"[0.7416666666666667]"	"[-0.3861111111111111]"	"[1]"	"[0]"	"[0]"	"[15.647301000004518]"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	"01"	"2024-02-22_09h10.49.778"	"BART_trial"	"2023.2.3"	"None"	"2024-02-22 09h11.07.285477 +0100"	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.7922582000028	15.8166736999992	0.00672520000080112	15.8166736999992	15.8166736999992	15.8166736999992	15.8166736999992	15.8166736999992	24.2791409000056	"[0.7407407407407407, -0.14074074074074075, 0.7435185185185185]"	"[-0.3861111111111111, -0.20277777777777778, -0.3824074074074074]"	"[1, 1, 1]"	"[0, 0, 0]"	"[0, 0, 0]"	"[0.07301019999431446, 7.129005099995993, 8.366489499996533]"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	"01"	"2024-02-22_09h10.49.778"	"BART_trial"	"2023.2.3"	"None"	"2024-02-22 09h11.07.285477 +0100"	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	"Männlich"	7.25153750000754	24.2792254000087	24.3098852000112	24.3098852000112	0.00143289999687112	24.3098852000112	24.3098852000112	24.3098852000112	24.3098852000112	24.3098852000112	24.3098852000112	24.3098852000112	24.3098852000112	24.3098852000112	24.3098852000112	24.3098852000112	24.3098852000112	24.3098852000112	24.3098852000112	24.3098852000112	76.0322054999997	"[0.675, -0.012037037037037037, 0.6759259259259259, 0.6925925925925925, 0.7055555555555556, 0.6935185185185185, 0.6916666666666667]"	"[-0.3851851851851852, -0.38981481481481484, -0.3851851851851852, -0.38796296296296295, -0.38796296296296295, -0.38333333333333336, -0.3925925925925926]"	"[1, 1, 1, 1, 1, 1, 1]"	"[0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0]"	"[4.457347100003972, 16.86862399999518, 18.327668199999607, 23.123641700003645, 34.27499530000205, 45.34453410000424, 51.59690920000139]"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	"01"	"2024-02-22_09h10.49.778"	"BART_trial"	"2023.2.3"	"None"	"2024-02-22 09h11.07.285477 +0100"	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	76.0323556000076	76.0373716000031	76.0373716000031	0.00053659999684896	80.8803056000033	"[0.7083333333333334]"	"[-0.3787037037037037]"	"[1]"	"[0]"	"[0]"	"[4.8469515000033425]"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	"01"	"2024-02-22_09h10.49.778"	"BART_trial"	"2023.2.3"	"None"	"2024-02-22 09h11.07.285477 +0100"	NA
"balloon.png"	64	0	0	0	2	80.9198641000112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	80.9050453000091	80.9198641000112	80.9198641000112	80.9198641000112	80.9198641000112	80.9198641000112	0.0265503999980865	0.0265503999980865	0.0265503999980865	80.9198641000112	100.599802900004	12	0.6	FALSE	"[0.075, 0.07592592592592592, 0.07777777777777778, 0.07777777777777778, 0.07777777777777778, 0.07777777777777778, 0.07777777777777778, 0.07777777777777778, 0.07962962962962963, 0.07962962962962963, 0.07962962962962963, 0.07962962962962963, 0.07962962962962963]"	"[-0.4009259259259259, -0.3990740740740741, -0.39814814814814814, -0.39814814814814814, -0.39814814814814814, -0.39814814814814814, -0.39814814814814814, -0.39814814814814814, -0.3962962962962963, -0.3962962962962963, -0.3962962962962963, -0.3962962962962963, -0.3962962962962963]"	"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"	"[3.125580899999477, 4.642317399993772, 5.8259584000043105, 6.9423386999988, 9.817816199996741, 10.601499800002784, 11.478100499996799, 12.278341099998215, 13.492932699999074, 14.476418799997191, 15.71788270000252, 17.79334590000508, 19.693647299995064]"	13	"[3.1170322999969358, 4.633724100000109, 5.8173565000033705, 6.9337414000037825, 9.809247800003504, 10.59293759999855, 11.469501999992644, 12.26973650000582, 13.484336399997119, 14.467833999995491, 15.709291699997266, 17.78478050000558, 19.68499910000537]"	"[3.324987999993027, 4.775118799996562, 5.955038300002343, 7.075397199994768, 9.933795999997528, 10.709313999992446, 11.592620700001135, 12.392337400000542, 13.600704399999813, 14.600812599994242, 15.80919719999656, 17.89264859999821, 19.685003999999026]"	100.601094900005	100.611755200007	102.108748800005	102.097966100002	NA	NA	NA	NA	NA	NA	NA	32	"01"	"2024-02-22_09h10.49.778"	"BART_trial"	"2023.2.3"	"None"	"2024-02-22 09h11.07.285477 +0100"	NA
"balloon.png"	1	0	1	1	0	102.108748800005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	102.098247200003	102.108748800005	102.108748800005	102.108748800005	102.108748800005	102.108748800005	-0.00062520000210497	-0.00062520000210497	-0.00062520000210497	102.108748800005	104.700041100004	2	0.05	TRUE	"[0.07777777777777778, 0.07962962962962963]"	"[-0.39166666666666666, -0.3907407407407407]"	"[1, 1]"	"[0, 0]"	"[0, 0]"	"[1.2585504000016954, 2.48362260000431]"	2	"[1.2535016000038013, 2.4785800999961793]"	"[1.3615046000049915, 2.5866351000004215]"	104.700738	104.707890900012	106.208588000009	106.198335400011	NA	NA	NA	NA	NA	NA	NA	32	"01"	"2024-02-22_09h10.49.778"	"BART_trial"	"2023.2.3"	"None"	"2024-02-22 09h11.07.285477 +0100"	NA
"balloon.png"	127	0	2	2	4	106.208588000009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	106.198553000009	106.208588000009	106.208588000009	106.208588000009	106.208588000009	106.208588000009	-0.00063650000083725	-0.00063650000083725	-0.00063650000083725	106.208588000009	126.726494600007	15	0.75	FALSE	"[0.08148148148148149, 0.08148148148148149, 0.08148148148148149, 0.08148148148148149, 0.08148148148148149, 0.08148148148148149, 0.08148148148148149, 0.08148148148148149, 0.08148148148148149, 0.08148148148148149, 0.08148148148148149, 0.08148148148148149, 0.08148148148148149, 0.08148148148148149, 0.08148148148148149, 0.08148148148148149]"	"[-0.3861111111111111, -0.3861111111111111, -0.3861111111111111, -0.3861111111111111, -0.3861111111111111, -0.3861111111111111, -0.3861111111111111, -0.3861111111111111, -0.3861111111111111, -0.3861111111111111, -0.3861111111111111, -0.3861111111111111, -0.3861111111111111, -0.3861111111111111, -0.3861111111111111, -0.3861111111111111]"	"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"	"[3.2760897999978624, 4.56709850000334, 5.567023399999016, 6.583730500002275, 7.4088026999961585, 8.309089400005178, 9.442306900004041, 10.525978899997426, 11.775750000000698, 13.042494000008446, 14.201140300006955, 14.384302100006607, 15.417640100000426, 16.434319799998775, 17.884714100000565, 20.526746100003948]"	16	"[3.2714046000037342, 4.562341099997866, 5.562273100003949, 6.578975399999763, 7.404051699995762, 8.304342599993106, 9.437552999996115, 10.521242200004053, 11.77099520000047, 13.037734700003057, 14.196438900005887, 14.379580699998769, 15.412882999997237, 16.42956889999914, 17.87995889999729, 20.52194330000202]"	"[3.428704199992353, 4.678774899992277, 5.678850099997362, 6.68720200000098, 7.553917299999739, 8.51235999999335, 9.579156599997077, 10.645974800005206, 11.904233599998406, 13.187680000002729, 14.321087999996962, 14.429707200004486, 15.55453039999702, 16.562839000005624, 17.988001599995187, 20.521948199995677]"	126.727532100005	126.732693900005	128.232860600008	128.2165026	NA	NA	NA	NA	NA	NA	NA	32	"01"	"2024-02-22_09h10.49.778"	"BART_trial"	"2023.2.3"	"None"	"2024-02-22 09h11.07.285477 +0100"	NA
"balloon.png"	96	0	3	3	3	128.232860600008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	128.21671980001	128.232860600008	128.232860600008	128.232860600008	128.232860600008	128.232860600008	0.00541769999836105	0.00541769999836105	0.00541769999836105	128.232860600008	153.1778261	20	1	FALSE	"[0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.3574074074074074]"	"[-0.39814814814814814, -0.39814814814814814, -0.39814814814814814, -0.39814814814814814, -0.39814814814814814, -0.39814814814814814, -0.39814814814814814, -0.39814814814814814, -0.39814814814814814, -0.39814814814814814, -0.39814814814814814, -0.39814814814814814, -0.39814814814814814, -0.39537037037037037, -0.39537037037037037, -0.39537037037037037, -0.39537037037037037, -0.39537037037037037, -0.39537037037037037, -0.39537037037037037, -0.2796296296296296]"	"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"	"[2.633527999991202, 4.0347046999959275, 4.875500499998452, 5.700726199997007, 6.484090799989644, 7.40880649999599, 8.325547299988102, 9.308906499994919, 10.58399259998987, 11.367371899992577, 12.38408449999406, 13.592584199999692, 15.243087499999092, 16.434672099989257, 18.07679819999612, 19.459882999988622, 19.634887399995932, 21.23500599998806, 22.468391799993697, 23.47674990000087, 24.960016599987284]"	19	"[4.0325455000129296, 4.873117100010859, 5.698366000011447, 6.48173320000933, 7.406422100000782, 8.323165600013454, 9.306525000007241, 10.581637200011755, 11.364988400004222, 12.381704200000968, 13.590207700006431, 15.24073760000465, 16.43229950001114, 18.074476200010395, 19.457565800010343, 19.632521300009103, 21.232636500004446, 22.46601990000636, 23.474367800008622]"	"[4.141515500014066, 4.997957700004918, 5.839569800009485, 6.614756400012993, 7.548210300010396, 8.456374900008086, 9.448457200007397, 10.689905500010354, 11.506629600000451, 12.523481000011088, 13.70681620000687, 15.365216400008649, 16.540506700010155, 18.21539890000713, 19.573853000008967, 19.6988577000011, 21.357248200001777, 22.582392399999662, 23.58251450001262]"	153.178890800002	153.184337400002	154.676971100009	154.668921900011	NA	NA	NA	NA	NA	NA	NA	32	"01"	"2024-02-22_09h10.49.778"	"BART_trial"	"2023.2.3"	"None"	"2024-02-22 09h11.07.285477 +0100"	NA
"balloon.png"	33	0	4	4	1	154.676971100009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	154.669183300008	154.676971100009	154.676971100009	154.676971100009	154.676971100009	154.676971100009	0.00557079999998677	0.00557079999998677	0.00557079999998677	154.676971100009	191.181011500012	34	1.65	TRUE	"[0.06296296296296296, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296, 0.06296296296296296, 0.06388888888888888, 0.06388888888888888, 0.06388888888888888, 0.06388888888888888, 0.06388888888888888]"	"[-0.37592592592592594, -0.37592592592592594, -0.37592592592592594, -0.3787037037037037, -0.3824074074074074, -0.3824074074074074, -0.3824074074074074, -0.3824074074074074, -0.3824074074074074, -0.3824074074074074, -0.3824074074074074, -0.3824074074074074, -0.3824074074074074, -0.3824074074074074, -0.3824074074074074, -0.3824074074074074, -0.3824074074074074, -0.3824074074074074, -0.3824074074074074, -0.3824074074074074, -0.3824074074074074, -0.3824074074074074, -0.3824074074074074, -0.3824074074074074, -0.3824074074074074, -0.3824074074074074, -0.3824074074074074, -0.3824074074074074, -0.3824074074074074, -0.3814814814814815, -0.3814814814814815, -0.3814814814814815, -0.3814814814814815, -0.3814814814814815]"	"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"	"[1.882770399999572, 2.941229599993676, 3.7497298999951454, 4.533212399997865, 5.233227799995802, 5.891488900000695, 6.891589200007729, 7.324964900006307, 7.82519869999669, 9.116590399993584, 9.900004099996295, 11.008617600004072, 12.258440899997368, 13.441903200000525, 14.392212799997651, 15.358929099995294, 16.600785200003884, 17.442170099995565, 18.42560339999909, 19.725919400007115, 20.60086360000423, 21.984316800007946, 23.134433900006115, 24.45100739999907, 25.317973600002006, 26.543526499997824, 27.43450550000125, 28.626268499996513, 29.784944400002132, 31.043078600006993, 32.13510569999926, 33.960213700003806, 35.269015099998796, 36.37676499999361]"	34	"[1.8803641999984393, 2.9387914999970235, 3.74729600000137, 4.530790699995123, 5.23078379999788, 5.889045099989744, 6.889140699990094, 7.322518599990872, 7.822774000000209, 9.114149699991685, 9.897552700000233, 11.00622119999025, 12.255993499988108, 13.43945910000184, 14.389776899988647, 15.35649179999018, 16.598356999995303, 17.439722600000096, 18.4231587999966, 19.723489600000903, 20.598417299988796, 21.981880299994373, 23.131990299996687, 24.44856730000174, 25.315543399992748, 26.54109509999398, 27.43205339999986, 28.623825099988608, 29.782512799996766, 31.040635899989866, 32.13266339999973, 33.95777549999184, 35.266586799989454, 36.374313399996026]"	"[2.013543799999752, 3.046921299988753, 3.896975499999826, 4.6820498000015505, 5.372160300001269, 5.997216799994931, 7.005671299993992, 7.455720999991172, 7.930671599999187, 9.247407599992584, 10.030738299989025, 11.164254299990716, 12.380969299993012, 13.556100699992385, 14.522811699993326, 15.47286389999499, 16.70625730000029, 17.58181329999934, 18.564553699994576, 19.856728499988094, 20.69809729998815, 22.114900599990506, 23.25677919998998, 24.55680079999729, 25.440328299999237, 26.675763099992764, 27.540569699995103, 28.723730500001693, 29.89044550000108, 31.140515599996434, 32.27396069999668, 34.06587019999279, 35.39962109999033, 36.4997818999982]"	191.182331000004	191.186909200012	192.678864000001	192.6728134	NA	NA	NA	NA	NA	NA	NA	32	"01"	"2024-02-22_09h10.49.778"	"BART_trial"	"2023.2.3"	"None"	"2024-02-22 09h11.07.285477 +0100"	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	192.672906799999	192.678864000001	192.678864000001	208.422893200011	"space"	15.7398924000008	"None"	32	"01"	"2024-02-22_09h10.49.778"	"BART_trial"	"2023.2.3"	"None"	"2024-02-22 09h11.07.285477 +0100"	NA
